"","Station","Area","weight"
"1","70","0",0
"2","71","0",0
"3","72","0",0
"4","73","0",0
"5","101","0",0
"6","102","0",0
"7","103","0",0
"8","104","0",0
"9","105","0",0
"10","106","0",0
"11","107","0",0
"12","108","0",0
"13","109","0",0
"14","110","0",0
"15","111","0",0
"16","112","0",0
"17","113","0",0
"18","201","0",0
"19","202","0",0
"20","203","0",0
"21","204","0",0
"22","205","0",0
"23","206","0",0
"24","207","0",0
"25","208","0",0
"26","209","0",0
"27","210","0",0
"28","211","0",0
"29","301","0",0
"30","302","0",0
"31","303","8",18.5
"32","304","8",18.5
"33","305","8",18.5
"34","306","8",18.5
"35","307","8",18.5
"36","308","8",18.5
"37","309","8",18.5
"38","310","8",18.5
"39","311","8",18.5
"40","312","7",10.2
"41","313","7",10.2
"42","314","7",10.2
"43","315","7",10.2
"44","316","7",10.2
"45","317","0",0
"46","318","0",0
"47","319","0",0
"48","320","0",0
"49","321","3",11.3
"50","322","3",11.3
"51","323","3",11.3
"52","324","3",11.3
"53","325","3",11.3
"54","326","3",11.3
"55","327","4",6.5
"56","328","4",6.5
"57","329","4",6.5
"58","330","5",12.2
"59","331","5",12.2
"60","332","5",12.2
"61","333","5",12.2
"62","334","5",12.2
"63","335","5",12.2
"64","336","1",8.1
"65","337","1",8.1
"66","338","1",8.1
"67","339","1",8.1
"68","340","10",4.8
"69","341","0",0
"70","401","11",16
"71","402","11",16
"72","403","11",16
"73","404","11",16
"74","405","11",16
"75","406","11",16
"76","407","11",16
"77","408","11",16
"78","409","12",14
"79","410","12",14
"80","411","12",14
"81","412","12",14
"82","413","12",14
"83","414","12",14
"84","415","12",14
"85","416","12",14
"86","417","12",14
"87","418","12",14
"88","419","0",0
"89","501","13",18
"90","502","13",18
"91","503","13",18
"92","504","13",18
"93","505","13",18
"94","506","13",18
"95","507","13",18
"96","508","13",18
"97","509","13",18
"98","510","13",18
"99","511","13",18
"100","512","13",18
"101","513","13",18
"102","514","13",18
"103","515","13",18
"104","516","13",18
"105","517","13",18
"106","518","13",18
"107","519","13",18
"108","601","14",5
"109","602","14",5
"110","603","14",5
"111","604","14",5
"112","605","14",5
"113","606","14",5
"114","607","14",5
"115","608","14",5
"116","609","0",0
"117","701","15",12
"118","702","15",12
"119","703","15",12
"120","704","15",12
"121","705","15",12
"122","706","15",12
"123","707","15",12
"124","708","15",12
"125","709","15",12
"126","710","15",12
"127","711","15",12
"128","712","0",0
"129","713","0",0
"130","715","0",0
"131","716","0",0
"132","717","0",0
"133","718","0",0
"134","719","0",0
"135","721","0",0
"136","723","0",0
"137","724","0",0
"138","735","0",0
"139","736","0",0
"140","794","0",0
"141","795","0",0
"142","796","0",0
"143","797","0",0
"144","801","0",0
"145","802","16",14
"146","803","0",0
"147","804","16",14
"148","805","0",0
"149","806","16",14
"150","807","16",14
"151","808","16",14
"152","809","16",14
"153","810","16",14
"154","811","16",14
"155","812","16",14
"156","813","16",14
"157","814","16",14
"158","815","16",14
"159","901","17",20
"160","902","17",20
"161","903","17",20
"162","904","17",20
"163","905","17",20
"164","906","17",20
"165","907","17",20
"166","908","17",20
"167","909","17",20
"168","910","17",20
"169","911","17",20
"170","912","17",20
"171","913","17",20
"172","914","17",20
"173","915","17",20
"174","916","0",0
"175","917","0",0
"176","918","0",0
"177","919","0",0
"178","920","0",0
"179","921","0",0
"180","922","0",0
"181","923","0",0
"182","924","0",0
"183","925","0",0
