county,state,reports,crop.index,animal.index,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,all.pixels,d.forest,e.forest,m.forest
Alameda,California,1,172.00,202.00,1513754.00,1533052.00,1556952.00,1583845.00,1612850.00,1638215.00,2363543,43,34967,333028
Alpine,California,9,3.00,1.00,1159.00,1111.00,1126.00,1144.00,1107.00,1110.00,2138670,2651,845734,86
Amador,California,1,204.00,234.00,37873.00,37538.00,37099.00,36591.00,36744.00,37001.00,1743783,94640,617998,39766
Butte,California,7,1389.00,438.00,219977.00,220019.00,221205.00,222154.00,224033.00,225411.00,4826404,212827,1722593,21457
Calaveras,California,8,205.00,348.00,45464.00,45101.00,44755.00,44574.00,44575.00,44828.00,2984054,198100,1085638,58872
Colusa,California,0,629.00,111.00,21446.00,21389.00,21370.00,21389.00,21351.00,21482.00,3327687,6507,125425,33110
Contra Costa,California,1,297.00,203.00,1052921.00,1066636.00,1079290.00,1095959.00,1111710.00,1126745.00,2313080,183,28563,288862
Del Norte,California,27,43.00,75.00,28566.00,28468.00,28201.00,27821.00,27194.00,27254.00,3538919,73838,1941951,289616
El Dorado,California,25,680.00,477.00,181148.00,180905.00,180579.00,181480.00,183050.00,184452.00,5140659,123461,2888979,123385
Fresno,California,17,4278.00,837.00,932462.00,940971.00,947713.00,955217.00,964983.00,974861.00,17298438,35735,3526063,135654
Glenn,California,0,908.00,332.00,28110.00,28199.00,27955.00,27943.00,28030.00,28017.00,3818715,38634,396605,65925
Humboldt,California,42,423.00,480.00,135026.00,135267.00,134703.00,134640.00,134831.00,135727.00,11661444,511096,6379636,749526
Imperial,California,1,327.00,78.00,174750.00,176372.00,177557.00,177579.00,179332.00,180191.00,12897102,2011,2214,1863
Inyo,California,4,37.00,78.00,18513.00,18399.00,18405.00,18403.00,18396.00,18260.00,29430469,11592,1364358,8286
Kern,California,12,1046.00,629.00,841682.00,849949.00,856576.00,865787.00,874190.00,882176.00,23490188,159728,1224261,58606
Kings,California,0,671.00,353.00,152367.00,151969.00,151201.00,150748.00,150108.00,150965.00,4004504,44,85,11137
Lake,California,1,589.00,208.00,64744.00,64264.00,63974.00,63803.00,64156.00,64591.00,3825816,61389,806753,298668
Lassen,California,3,169.00,250.00,34839.00,34298.00,33674.00,32176.00,31732.00,31345.00,13582266,4689,3851294,21070
