Station,Longitude,Latitude
72,-121.58057,38.18775
73,-121.53937,38.27433
305,-122.4086,37.9987
306,-122.41488,38.00042
307,-122.4192,38.00472
308,-122.40438,38.01745
309,-122.39387,38.01442
310,-122.37355,38.0297
311,-122.37743,38.02087
314,-122.41167,38.02812
315,-122.3936,38.03815
321,-122.36103,38.03612
322,-122.35078,38.02363
323,-122.32817,38.02853
325,-122.2955,38.05605
326,-122.29592,38.04038
327,-122.36672,38.04772
328,-122.34842,38.06005
329,-122.30588,38.06312
334,-122.33933,38.07553
335,-122.3243,38.0705
336,-122.27875,38.06275
337,-122.27232,38.0595
338,-122.24892,38.06003
339,-122.2568,38.0667
340,-122.26988,38.10508
341,-122.2802,38.12828
401,-122.21245,38.05758
403,-122.17192,38.04883
404,-122.17887,38.04645
405,-122.15815,38.03353
406,-122.15057,38.028
407,-122.14515,38.03298
408,-122.12897,38.03513
409,-122.10637,38.04455
410,-122.09647,38.04883
411,-122.06828,38.06117
412,-122.06007,38.06462
413,-122.0473,38.06595
414,-122.11128,38.05213
415,-122.10772,38.05678
416,-122.09415,38.0702
417,-122.083,38.08075
418,-122.06973,38.09383
501,-122.01955,38.06167
502,-122.00397,38.05997
503,-121.9832,38.06022
504,-121.9767,38.05945
505,-121.95597,38.05713
507,-121.939,38.05228
508,-121.91492,38.04813
509,-121.90412,38.04547
510,-121.88783,38.04888
511,-121.88,38.0513
512,-121.87722,38.05638
513,-121.86842,38.0592
515,-122.01472,38.092
516,-121.99408,38.07867
517,-121.97938,38.07022
518,-121.96802,38.06875
519,-121.94725,38.07378
601,-122.0356,38.1031
602,-122.04183,38.11783
603,-122.04805,38.11552
604,-122.05717,38.12163
605,-122.05738,38.14853
606,-122.02177,38.1698
608,-121.88332,38.0887
701,-121.83475,38.06505
703,-121.79692,38.06087
704,-121.77892,38.07087
705,-121.7618,38.07925
706,-121.74,38.0903
707,-121.70797,38.11397
708,-121.6967,38.12608
709,-121.69048,38.14787
710,-121.68228,38.162
711,-121.67028,38.17595
712,-121.64095,38.19042
713,-121.66008,38.20712
715,-121.67362,38.22295
716,-121.68438,38.23787
717,-121.63138,38.17017
719,-121.64733,38.33428
723,-121.67348,38.23615
724,-121.55878,38.23578
735,-121.56968,38.33343
736,-121.5214,38.36737
795,-121.58468,38.5377
796,-121.5844,38.47387
797,-121.6156,38.40462
721,-121.70277,38.26815
802,-121.83875,38.03528
804,-121.79868,38.02308
806,-121.7617,38.02872
807,-121.73203,38.02995
808,-121.71942,38.03337
809,-121.69305,38.0512
810,-121.67622,38.07083
811,-121.66487,38.09742
812,-121.64883,38.08792
813,-121.62767,38.09978
814,-121.6022,38.10128
815,-121.57587,38.0913
902,-121.58255,38.0205
903,-121.56747,38.10628
904,-121.56847,38.07828
905,-121.55573,38.05953
906,-121.51653,38.05412
908,-121.5298,38.04308
909,-121.46705,38.02442
910,-121.45037,38.00228
911,-121.40875,37.99247
912,-121.37172,37.96883
913,-121.53705,37.97012
914,-121.53475,37.94662
915,-121.55908,37.949
919,-121.49525,38.10572
920,-121.50475,38.14138
921,-121.49303,38.16513
922,-121.4789,38.20438
923,-121.56625,38.13445
