Survey,StationCode,Lat,Lon,Station,DSLCM.Region,DSLCM.SubRegion,EDSM.SubRegion
FMWT,72,38.18775,-121.58057,Non-Index,North,Sacramento River near Ryde,Sacramento River near Ryde
FMWT,73,38.27433,-121.53937,Non-Index,North,Upper Sacramento River,Upper Sacramento River
FMWT,341,38.12828,-122.2802,Non-Index,Far West,Lower Napa River,Lower Napa River
FMWT,712,38.19042,-121.64095,Non-Index,North,Upper Sacramento River,Upper Sacramento River
FMWT,713,38.20712,-121.66008,Non-Index,North,Cache Slough and Liberty Island,Lower Sacramento River Ship Channel
FMWT,715,38.22295,-121.67362,Non-Index,North,Cache Slough and Liberty Island,Lower Sacramento River Ship Channel
FMWT,716,38.23787,-121.68438,Non-Index,North,Cache Slough and Liberty Island,Cache Slough and Liberty Island
FMWT,717,38.17017,-121.63138,Non-Index,North,Sacramento River near Ryde,Sacramento River near Ryde
FMWT,719,38.33428,-121.64733,Non-Index,North,Cache Slough and Liberty Island,Lower Sacramento River Ship Channel
FMWT,723,38.23615,-121.67348,Non-Index,North,Cache Slough and Liberty Island,Lower Sacramento River Ship Channel
FMWT,724,38.23578,-121.55878,Non-Index,North,Sacramento River near Ryde,Sacramento River near Ryde
FMWT,735,38.33343,-121.56968,Non-Index,North,Upper Sacramento River,Upper Sacramento River
FMWT,736,38.36737,-121.5214,Non-Index,North,Upper Sacramento River,Upper Sacramento River
FMWT,795,38.5377,-121.58468,Non-Index,North,Sacramento River Ship Channel,Upper Sacramento River Ship Channel
FMWT,796,38.47387,-121.5844,Non-Index,North,Sacramento River Ship Channel,Lower Sacramento River Ship Channel
FMWT,797,38.40462,-121.6156,Non-Index,North,Sacramento River Ship Channel,Lower Sacramento River Ship Channel
FMWT,721,38.26815,-121.70277,Non-Index,North,Cache Slough and Liberty Island,Cache Slough and Liberty Island
FMWT,919,38.10572,-121.49525,Non-Index,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
FMWT,920,38.14138,-121.50475,Non-Index,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
FMWT,921,38.16513,-121.49303,Non-Index,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
FMWT,922,38.20438,-121.4789,Non-Index,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
FMWT,923,38.13445,-121.56625,Non-Index,South,North and South Forks Mokelumne River,North and South Forks Mokelumne River
STN,340,38.0975,-122.26219,Non-Index,Far West,Lower Napa River,Lower Napa River
STN,713,38.20633,-121.66008,Non-Index,North,Cache Slough and Liberty Island,Lower Sacramento River Ship Channel
STN,716,38.23867,-121.68481,Non-Index,North,Cache Slough and Liberty Island,Cache Slough and Liberty Island
STN,719,38.33339,-121.64753,Non-Index,North,Cache Slough and Liberty Island,Lower Sacramento River Ship Channel
STN,721,38.26814,-121.70278,Non-Index,North,Cache Slough and Liberty Island,Cache Slough and Liberty Island
STN,723,38.23722,-121.67306,Non-Index,North,Cache Slough and Liberty Island,Lower Sacramento River Ship Channel
STN,795,38.53758,-121.58464,Non-Index,North,Sacramento River Ship Channel,Upper Sacramento River Ship Channel
STN,796,38.47356,-121.58444,Non-Index,North,Sacramento River Ship Channel,Lower Sacramento River Ship Channel
STN,797,38.40467,-121.61553,Non-Index,North,Sacramento River Ship Channel,Lower Sacramento River Ship Channel
SFBS,140,37.50185,-122.11618,Non-Index,South Bay,South Bay,South Bay
SFBS,142,37.76183,-122.30533,Non-Index,Central Bay,Central Bay,Central Bay
SFBS,243,37.8842,-122.4012,Non-Index,Central Bay,Central Bay,Central Bay
SFBS,244,37.9237,-122.468,Non-Index,Central Bay,Central Bay,Central Bay
SFBS,345,37.9975,-122.4242,Non-Index,Far West,West San Pablo SFBS,West San Pablo SFBS
SFBS,346,38.0555,-122.3,Non-Index,Far West,East San Pablo SFBS,East San Pablo SFBS
SFBS,447,38.05592,-122.17833,Non-Index,Far West,Carquinez Strait,Carquinez Strait
SFBS,750,38.08467,-121.75,Non-Index,West,Lower Sacramento River,Lower Sacramento River
SFBS,751,38.10417,-121.7125,Non-Index,North,Sacramento River near Rio Vista,Sacramento River near Rio Vista
SFBS,752,38.1042,-121.7125,Non-Index,North,Sacramento River near Rio Vista,Sacramento River near Rio Vista
SFBS,760,38.15233,-121.68483,Non-Index,North,Sacramento River near Rio Vista,Sacramento River near Rio Vista
SFBS,761,38.16783,-121.67717,Non-Index,North,Sacramento River near Rio Vista,Sacramento River near Rio Vista
SFBS,762,38.175,-121.657,Non-Index,North,Sacramento River near Rio Vista,Sacramento River near Rio Vista
SFBS,853,38.0285,-121.737,Non-Index,West,Lower San Joaquin River,Lower San Joaquin River
SFBS,863,38.09145,-121.6511,Non-Index,South,San Joaquin River at Twitchell Island,San Joaquin River at Twitchell Island
SFBS,864,38.10117,-121.598,Non-Index,South,San Joaquin River at Prisoners Pt,San Joaquin River at Prisoners Pt
SFBS,865,38.08667,-121.57633,Non-Index,South,San Joaquin River at Prisoners Pt,San Joaquin River at Prisoners Pt
