"WaterYear","Month","T0","T1","T3","T5"
1,10,27196.5480879816,25102.4551651039,24344.6482463201,24564.0611221846
1,11,6438.39778005969,6395.56971667011,6362.86142958433,6901.64675364498
1,12,6617.95970363853,7083.66235765421,6349.55541769038,8576.01349598917
1,1,10280.8681826816,10035.1511529957,6686.74767894747,11049.6073127031
1,2,9018.67283292394,8728.13474781091,8389.94873765762,8347.6437378431
1,3,6708.25006840747,6651.65542443606,6571.12234544357,6510.09528916008
1,4,45004.7768319993,21858.2314433027,12686.0778988527,12683.544865058
1,5,36810.3582168724,20669.3948963259,18448.5116580755,21102.3231965132
1,6,15008.3073824311,14856.4471693588,6586.0130476291,7157.21462381402
1,7,9655.7246474502,8483.26779492706,7538.95976665037,7444.21444782247
1,8,17903.4950301023,17960.5829964896,16055.059349122,14506.3249013028
1,9,10668.2986164935,9205.81790190099,8823.44255305491,8844.20749906446
2,10,27949.4113181742,25223.6335352413,24730.7171861651,24415.843003547
2,11,6807.6565787937,8064.63088415727,9126.92661420898,6844.54130078562
2,12,8039.7777189439,9162.09063783478,10635.6467416487,7196.25053983514
2,1,10052.9604824013,10375.1896228888,10778.0030029069,6603.08591905736
2,2,17311.4769146142,18318.5617594029,10581.6579546426,6876.24027550093
2,3,7762.1878614964,7724.59027155657,7624.75880911113,7588.4646542958
2,4,45461.5198848311,22289.4654193352,13061.7590476223,13048.2116267356
2,5,36767.7242068658,22618.5523170802,20411.7493080298,11504.1149795043
2,6,21003.5423408412,26034.5462987715,7477.80907997753,6227.35361225824
2,7,9061.21711580847,7608.70252868638,7271.93540325065,7341.4077203637
2,8,16069.1103857406,15795.2959332796,14576.7505747272,7626.63030545896
2,9,10613.1860569738,9148.62918142778,8771.8917129484,8793.05923780787
3,10,27414.6094939011,27393.1494770791,22547.6775123714,21438.1944728834
3,11,6786.50477443795,6735.29158512644,6602.58810616617,6496.27887984779
3,12,7720.46790436155,7625.03176530217,7450.08007711675,7278.64923536883
3,1,9276.35850583703,9102.96531282409,8503.27515185177,8376.79937090337
3,2,7833.37243021964,7750.89638143975,7170.9938594712,7113.49895847965
3,3,6336.08874888514,6287.12609163317,6260.47318281292,6211.48969706094
3,4,44969.2006235272,44966.2222721593,12854.5155014847,16351.1601320954
3,5,36801.6624746935,36823.7561931485,19251.1017596097,21109.4514550212
3,6,12555.2165167435,18885.6246602093,6257.82725074165,7359.51716402299
3,7,12148.0423470638,9162.68181581915,7360.57630308262,7423.92728816105
3,8,17723.9465067815,16384.576811629,15485.9530590541,14178.1329912801
3,9,10616.5998724605,10647.4730564853,8775.5470065119,8818.85075466856
4,10,27855.4680342501,28922.0182795864,29823.0505813237,27272.1889701021
4,11,6196.66050233193,6680.83681862177,7049.39022460585,7527.11377509017
4,12,7858.21603337581,7833.91364758552,7776.13702851836,7705.83373263073
4,1,7933.22761038285,7675.80757334401,7568.39630029731,7270.54516903131
4,2,9815.21872790412,9471.33624252334,9283.95452896416,8975.02615924442
4,3,47144.0783438383,7476.31787243416,7233.93792432453,7123.8779604921
4,4,41173.7378493679,45158.6468509369,45078.6303142413,21887.5389059336
4,5,46445.2322192984,36938.7997724904,36931.4222640927,18537.7966728857
4,6,30279.8142077394,17108.9904209725,17052.0574159215,7681.53031033611
4,7,10635.0971031725,10311.6166957096,14239.9763005017,7735.40365152555
4,8,17370.2432225756,18429.6183762945,18754.8686649075,7687.88046904714
4,9,12244.8419591256,10782.1670053002,10819.291986573,9313.96075357181
5,10,27174.8848003427,27160.9088437972,28609.3250956327,23034.9673398383
5,11,7116.30368801344,7139.00364420237,7186.13793755787,7192.27515318874
5,12,7995.53142790816,7996.05100957021,7998.12169931032,7999.15451894685
5,1,8188.16170934711,8128.70808679532,8028.30074414178,7750.04271034343
5,2,7124.84526355932,7106.84134421935,7089.85453633313,6844.95495719508
5,3,12038.7770921564,5989.61165483487,5989.14210101692,6004.04026780643
5,4,46049.6520865015,45955.8985565192,45814.9729347532,22564.8030058733
5,5,36776.9673420448,36792.7604422692,36788.8063110568,18397.402018406
5,6,15460.2019169627,12457.8751267123,12496.3858148634,7503.14964146508
5,7,13981.1269400635,9085.79289370076,9109.32513509788,7649.43495871182
5,8,17179.4270343979,9110.50079859374,9144.52155748399,7686.39518597718
5,9,10743.6691422128,10719.5982752974,10748.12469725,9285.52153851571
6,10,21235.5173302459,21237.1387765638,21267.663036397,21283.769512024
6,11,6067.25520012383,6060.31607594537,6049.86920586023,6042.76253247377
6,12,6656.83770853633,6245.56851241524,6185.12476529942,6127.17290870419
6,1,7828.30820545438,6970.14382341804,6894.18781810379,6815.1885822583
6,2,6861.32750656356,6841.98562297297,6813.99280463478,6789.07800324764
6,3,6411.69147529143,6357.21311743112,6246.78235738834,6146.85040100195
6,4,12678.5764927919,12679.5612494393,12681.0395590782,12673.941439491
6,5,11411.250189823,11431.2622624584,11471.2783351496,11510.3787201827
6,6,6129.43294877393,6146.43476196137,6195.93739384402,6245.00655253161
6,7,7205.49305523486,7232.48830590538,7285.99167204228,7321.72113044484
6,8,7446.21911696223,7470.72936378997,7522.24914425001,7567.71726403352
6,9,8690.59103852438,8709.59357676456,8751.60376515073,8790.64660204733
