"WaterYear","Month","T0","T1","T3","T5"
1,10,20059.6430924979,4977.77128570243,4992.12721923092,5015.50782478826
1,11,4643.99374113163,4635.4402570709,4636.37148684502,4638.4791518159
1,12,4575.01165654286,4571.81192242106,4571.23265970638,4571.29553801875
1,1,4568.83115214019,4568.45011008912,9048.23753857898,4568.51060299702
1,2,105303.46494119,95555.0015074906,128890.409738869,71860.7016367481
1,3,117807.559890918,118364.258999292,117860.875800519,174073.504310959
1,4,69501.0423582231,64105.1917282024,60487.066224208,47261.6522789801
1,5,32197.6101107944,32176.711932333,21117.7473358262,14759.1761944954
1,6,35586.2754713542,28961.9075536122,4202.57460378136,4230.71780569676
1,7,9068.35318723658,8856.0360412921,4248.37493701284,4291.9297177028
1,8,8701.77856036243,8714.83717617496,4234.79365943015,4282.23856018825
1,9,8469.34325475807,8485.80167406143,3992.65519597903,4018.24763695933
2,10,12429.1822142922,12442.0343369971,6977.0396765019,5036.07372338901
2,11,9167.84740705386,9167.80940915616,5398.5398152427,4641.35464810237
2,12,9099.15568468287,9098.32480300499,5325.05086094686,4569.79399538025
2,1,9097.36793047798,9096.42529091208,5323.58578539533,4568.52153387788
2,2,9222.80148057429,9226.51117151748,5461.97908804925,4715.63168762586
2,3,52513.9838015548,51972.8839102047,69632.9236815551,20402.3493744375
2,4,65321.6351317791,64417.4983447572,60868.7376274025,103923.36927869
2,5,21020.4282870424,21028.6597579635,14671.2940897444,14715.2019573489
2,6,4131.8395289404,4144.37473399546,4156.66780684135,4200.93557382489
2,7,4162.65583789602,4152.81894615494,4184.71928217342,4237.45370575975
2,8,4162.63949804167,4169.66837614719,4212.6130405869,4264.236402432
2,9,3970.75450864559,3983.38934065504,4019.11106697069,4054.41200055078
3,10,6620.43761851376,6627.92084194049,4695.90398084509,4708.18862356646
3,11,54954.0291375116,56203.2740348923,4590.20456841356,4591.93250170391
3,12,42147.4535646829,50080.0484200541,76549.058626877,4565.99335797361
3,1,119643.748195157,136188.942329041,141456.427633596,111713.306944014
3,2,120878.528178264,121919.53256988,208260.021520227,270794.875882041
3,3,105669.988839893,123793.232303978,181946.610996424,160075.467880441
3,4,60457.50316978,41506.1988697107,19385.882304968,10609.3598966395
3,5,34218.2408105939,20871.4912004572,14504.1834332438,10361.1938374268
3,6,8971.90274585598,4160.33508141264,4182.71227862267,4215.19734926625
3,7,21102.0871016696,4228.42183965227,4261.73798505126,4300.5975769505
3,8,8687.03786353755,4174.1959554783,4215.52000199096,4254.25180404409
3,9,8473.85906079717,3964.83456744202,4000.48141754185,4022.000130207
4,10,12464.8745083619,6985.7412640814,5048.50727799981,4344.84687990387
4,11,9166.49542327992,5395.16632025239,4637.6628917192,4625.15283659636
4,12,9097.71321697821,5323.11275765653,4566.61950771686,4565.26494924767
4,1,9093.44191769367,5319.76768527684,4562.89651993661,4561.54880932196
4,2,130142.181881797,122329.81919168,4559.47961874336,74484.4857568988
4,3,142429.093049657,147566.954470401,120669.541465757,174309.23187255
4,4,109288.185279851,107013.891492785,95458.7707794793,75902.276167693
4,5,83633.2902619262,69065.4847076833,64108.1074240453,21039.2410007278
4,6,58411.6891975142,43788.2280239258,48669.5865414346,4244.34008834748
4,7,68166.3815806697,69922.4220083111,9288.1248400763,4314.46381663592
4,8,9103.01751081936,9005.81110184167,8754.0669656398,4254.55299342307
4,9,8584.80964310707,8600.3902108719,8623.60018730249,4127.42662404179
5,10,12415.3367717735,12427.7276613632,12438.1028530806,6959.42542227892
5,11,9159.33575942767,9158.74240786035,9157.67643026934,5386.2341235932
5,12,11045.9166592236,9806.77209812734,46848.7839097847,17411.6060034635
5,1,73182.0900510194,88300.5019826445,119265.463113588,148771.06281233
5,2,78487.5995818541,81871.1854458247,74074.2588307365,69067.3162388984
5,3,61474.015278893,62833.4951980378,52658.2608193311,50930.0624036495
5,4,119290.560510869,117858.960255018,138339.03811902,197845.280614857
5,5,62088.817108506,42379.7050469243,21067.621342032,15265.6579762277
5,6,36674.0968093656,16888.4715192418,4100.71395253652,4124.95063192629
5,7,31740.6535196266,18490.9441827936,4197.16344535793,4212.82084667864
5,8,8887.53294997501,8732.56691246996,4201.8256644572,4233.83020295244
5,9,30643.9040808728,10418.4128673045,3994.01677903247,4033.38432924825
6,10,45496.4125051532,46040.3458875479,6945.78651761276,6729.8668819375
6,11,9190.15879884401,9186.64788367374,5391.13271265853,5538.30974025876
6,12,9107.02573577962,9104.82275321913,5322.4923360608,5471.59183045692
6,1,9096.31110670505,9094.9389986838,5318.30845535825,5467.89654994239
6,2,9263.38563883357,28977.0129253449,15167.9355840387,5656.84426312136
6,3,23438.1773198596,22612.5065677252,28921.0642162129,5790.43268964331
6,4,10283.4953973086,8012.83639773439,13344.0609988921,7864.28478671584
6,5,10480.1183492254,8278.5422967587,8309.02436500146,8327.46888265136
6,6,4125.04810102442,4131.76211188618,4162.20635742275,4181.2130253178
6,7,4147.36577815026,4153.92328321845,4184.5797550257,4204.78719503836
6,8,4136.44014159391,4152.83521626282,4185.87544972409,4210.01352698829
6,9,3966.83026221485,3978.81826824757,4005.83143959141,4021.50242961704
7,10,4056.68701080915,4094.40493881016,4127.49574014162,4142.30678388657
7,11,4603.77544133153,4603.42733266686,4603.70387277974,4589.87943149174
7,12,4565.4482059752,4564.60879338988,4563.22905843547,4558.36639807958
7,1,4561.52810702854,4560.71483948561,4559.34110425953,4554.79660799719
7,2,4615.09926814168,4614.77820085987,19726.5192293874,42607.3239893498
7,3,57275.8265284848,86150.8248159105,134488.201004561,118507.504212522
7,4,135389.045170183,139299.776256856,139829.876879363,135770.135951934
7,5,59154.3839077806,35061.2466691042,14495.8766889386,13413.5049476694
7,6,38227.2382200152,14463.1300803781,4170.0084145098,4200.06916043816
7,7,11383.7294895542,4361.82014928568,4226.54442469151,4269.7255367532
7,8,4144.03168749303,4153.68341889482,4175.76654894199,4211.78556369336
7,9,3901.43379927069,3914.55528509424,3940.05919365002,3963.18466225311
8,10,10983.6892109689,6936.20466539316,4994.39399680389,5010.1617866844
8,11,5390.50614904958,5387.63983088811,4628.14883533601,4628.51431001926
8,12,5320.72120840469,5318.978766395,4561.87543341911,4560.66448070849
8,1,5316.83940838929,5315.81559792557,4558.30745164488,4557.24425543995
8,2,100664.233692957,88403.8821901539,28180.4475530419,4630.88381535382
8,3,56237.7416101034,63354.905013834,75041.9996651722,4938.16418437368
8,4,111214.358838408,139721.73250569,154574.999849138,116166.329473368
8,5,15958.9292016316,14924.4484987523,13619.1868062934,10546.9989772237
8,6,4186.21823202186,4195.81265655112,4226.31228877311,4248.35024409521
8,7,4193.95410675887,4206.40197350779,4248.75673296158,4277.81638763667
8,8,4155.98124026897,4170.7307836924,4207.06634848402,4237.68730221364
8,9,3942.62554132793,3954.28643993684,3976.17128767771,4000.23318484661
9,10,6724.98920196088,5007.97314418791,5024.31384625781,4323.80581446688
9,11,5530.25738088537,4625.96677256579,4625.91624464338,4617.21285210613
9,12,5469.3396549768,4562.89774394514,4561.82416663252,4560.24112699669
9,1,5465.54642442222,4559.25018542989,4559.77608640365,4557.42685347017
9,2,69144.4009877758,47556.1284517708,62706.4159973085,69822.4198508503
9,3,105017.198258379,100739.731871741,136270.68391773,139211.629415342
9,4,130214.828702008,126657.991694206,156126.463134469,165840.867235535
9,5,37203.8119206847,32187.6994226508,21025.5899059102,14667.7371232449
