"","year","stms.i.","Fish.id","depth","vel","lwd"
"1",2010,"Willow Ck.",1,1.3,0.79,0.23
"2",2010,"Willow Ck.",2,1.3,0.79,0.23
"3",2010,"Willow Ck.",3,1.3,0.79,0.23
"4",2010,"Willow Ck.",4,1.3,0.79,0.23
"5",2010,"Willow Ck.",5,1.3,0.79,0.23
"6",2010,"Willow Ck.",6,1.3,0.79,0.23
"7",2010,"Willow Ck.",7,1.3,0.79,0.23
"8",2010,"Willow Ck.",8,1.3,0.79,0.23
"9",2010,"Clear Ck.",1,1.41,0.84,0.11
"10",2010,"Clear Ck.",2,1.41,0.84,0.11
"11",2010,"Clear Ck.",3,1.41,0.84,0.11
"12",2010,"Clear Ck.",4,1.41,0.84,0.11
"13",2010,"Clear Ck.",5,1.41,0.84,0.11
"14",2010,"Clear Ck.",6,1.41,0.84,0.11
"15",2010,"Clear Ck.",7,1.41,0.84,0.11
"16",2010,"Clear Ck.",8,1.41,0.84,0.11
"17",2010,"Clear Ck.",9,1.41,0.84,0.11
"18",2010,"Clear Ck.",10,1.41,0.84,0.11
"19",2010,"Clear Ck.",11,1.41,0.84,0.11
"20",2010,"Clear Ck.",12,1.41,0.84,0.11
"21",2010,"Elk Ck.",1,1.66,0.63,0.11
"22",2010,"Elk Ck.",2,1.66,0.63,0.11
"23",2010,"Elk Ck.",3,1.66,0.63,0.11
"24",2010,"Elk Ck.",4,1.66,0.63,0.11
"25",2010,"Elk Ck.",5,1.66,0.63,0.11
"26",2010,"Elk Ck.",6,1.66,0.63,0.11
"27",2010,"Elk Ck.",7,1.66,0.63,0.11
"28",2010,"Elk Ck.",8,1.66,0.63,0.11
"29",2010,"Elk Ck.",9,1.66,0.63,0.11
"30",2010,"Elk Ck.",10,1.66,0.63,0.11
"31",2010,"Elk Ck.",11,1.66,0.63,0.11
"32",2010,"Panther Ck.",1,1.07,0.31,0.03
"33",2010,"Panther Ck.",2,1.07,0.31,0.03
"34",2010,"Panther Ck.",3,1.07,0.31,0.03
"35",2010,"Panther Ck.",4,1.07,0.31,0.03
"36",2010,"Panther Ck.",5,1.07,0.31,0.03
"37",2010,"Panther Ck.",6,1.07,0.31,0.03
"38",2010,"Panther Ck.",7,1.07,0.31,0.03
"39",2010,"Panther Ck.",8,1.07,0.31,0.03
"40",2010,"Panther Ck.",9,1.07,0.31,0.03
"41",2010,"Panther Ck.",10,1.07,0.31,0.03
"42",2010,"Panther Ck.",11,1.07,0.31,0.03
"43",2010,"Panther Ck.",12,1.07,0.31,0.03
"44",2010,"Panther Ck.",13,1.07,0.31,0.03
"45",2010,"Panther Ck.",14,1.07,0.31,0.03
"46",2010,"Panther Ck.",15,1.07,0.31,0.03
"47",2010,"Panther Ck.",16,1.07,0.31,0.03
"48",2010,"Panther Ck.",17,1.07,0.31,0.03
"49",2010,"Panther Ck.",18,1.07,0.31,0.03
"50",2010,"Salmon River",1,0.48,0.19,0.07
"51",2010,"Salmon River",2,0.48,0.19,0.07
"52",2010,"Salmon River",3,0.48,0.19,0.07
"53",2010,"Salmon River",4,0.48,0.19,0.07
"54",2010,"Salmon River",5,0.48,0.19,0.07
"55",2010,"Salmon River",6,0.48,0.19,0.07
"56",2010,"Salmon River",7,0.48,0.19,0.07
"57",2010,"Salmon River",8,0.48,0.19,0.07
"58",2010,"Salmon River",9,0.48,0.19,0.07
"59",2010,"Salmon River",10,0.48,0.19,0.07
"60",2010,"Salmon River",11,0.48,0.19,0.07
"61",2010,"Salmon River",12,0.48,0.19,0.07
"62",2010,"Salmon River",13,0.48,0.19,0.07
"63",2010,"Salmon River",14,0.48,0.19,0.07
"64",2010,"Salmon River",15,0.48,0.19,0.07
"65",2010,"Salmon River",16,0.48,0.19,0.07
"66",2010,"Salmon River",17,0.48,0.19,0.07
"67",2010,"Salmon River",18,0.48,0.19,0.07
"68",2010,"Salmon River",19,0.48,0.19,0.07
