ID,year,length,weight,stage
1,2009,701.0329789,30.30457723,Adult
2,2012,593.8603971,52.77595743,Adult
3,2012,729.4740087,101.9754587,Adult
4,2010,563.1532873,65.93423059,Adult
5,2011,231.1420518,10.93875418,Juv
6,2012,722.9628575,77.12884886,Adult
7,2011,375.9544365,52.73832801,Adult
8,2010,709.871872,173.7469005,Adult
9,2012,502.3623434,27.9412298,Adult
10,2009,664.281398,30.40297506,Adult
11,2010,581.5086262,56.77241389,Adult
12,2011,604.4537828,235.1055782,Adult
13,2012,778.0589873,89.21515824,Adult
14,2011,669.0228497,301.3164099,Adult
15,2012,435.0625164,20.6894071,Adult
16,2010,250.3200615,7.746906288,Juv
17,2011,784.1499642,537.8392423,Adult
18,2010,523.1385886,61.0161083,Adult
19,2010,220.0594071,3.99216843,Juv
20,2009,486.1628972,10.74691264,Adult
21,2010,281.4763656,9.167742934,Adult
22,2011,215.2946623,11.73696447,Juv
23,2012,784.9161059,121.8833342,Adult
24,2009,686.8643944,32.14054727,Adult
25,2009,662.134428,31.29079093,Adult
26,2009,749.029824,46.20941209,Adult
27,2011,627.5014763,253.7359964,Adult
28,2010,683.9579245,126.7836182,Adult
29,2009,550.3172438,15.78662576,Adult
30,2009,537.0796294,13.57467393,Adult
31,2010,294.7686544,9.886246696,Adult
32,2009,572.0470051,12.68302004,Adult
33,2009,389.6962876,7.949727368,Adult
34,2011,723.036965,411.8922938,Adult
35,2012,667.3113982,72.85854406,Adult
36,2012,658.398286,53.84328546,Adult
37,2010,581.0342542,78.76668889,Adult
38,2009,304.1548877,2.721336084,Adult
39,2009,431.1151806,9.824124946,Adult
40,2012,533.9927637,30.95993805,Adult
41,2010,254.1610367,5.43466861,Juv
42,2009,663.9680371,22.19236979,Adult
43,2011,489.2074295,93.56706457,Adult
44,2012,793.5585615,106.471957,Adult
45,2010,356.2932997,19.4910579,Adult
46,2012,628.0812507,56.2036226,Adult
47,2009,375.1781912,4.848792973,Adult
48,2012,239.6501075,2.944988133,Juv
49,2009,557.0668606,15.35780283,Adult
50,2011,211.6616813,8.334313846,Juv
51,2009,304.0342774,2.734837223,Adult
52,2011,276.6604415,22.17140498,Adult
53,2009,259.9965899,1.776669876,Juv
54,2010,533.2907077,56.93683222,Adult
55,2011,793.7668547,659.0855646,Adult
56,2011,419.569957,107.8117833,Adult
57,2009,256.6255133,1.433711327,Juv
58,2009,628.2423101,30.04928874,Adult
59,2009,252.4574904,2.046917483,Juv
60,2012,752.359804,96.27675897,Adult
61,2011,595.8472483,222.2449501,Adult
62,2011,689.4058771,298.0717267,Adult
63,2012,744.0575788,88.88128831,Adult
64,2010,579.388542,52.22143779,Adult
65,2012,484.8630273,29.34757481,Adult
66,2011,426.3459622,106.5760511,Adult
67,2009,712.3143715,46.10301338,Adult
68,2011,509.3696114,162.4906358,Adult
69,2012,254.3063872,4.942449463,Juv
70,2009,249.7963046,1.828821475,Juv
71,2010,601.1591738,94.53339593,Adult
72,2009,305.6251218,2.565019085,Adult
73,2010,664.241695,129.5753959,Adult
74,2010,546.041559,67.42636987,Adult
75,2010,273.967632,8.43190902,Adult
76,2009,737.8580493,30.43478129,Adult
77,2012,426.1911671,20.71631181,Adult
78,2010,232.1249073,4.951905014,Juv
79,2010,425.9598777,25.73682747,Adult
80,2011,789.3901491,440.0751452,Adult
81,2012,384.7516995,11.14423097,Adult
82,2009,456.7842769,10.04177522,Adult
83,2010,233.6986338,5.487010002,Juv
84,2012,281.524244,6.729328959,Adult
85,2010,430.8910153,21.53742473,Adult
86,2010,707.6878902,133.8015534,Adult
87,2010,678.1770881,139.5701183,Adult
88,2009,616.5048658,22.63487493,Adult
89,2009,545.5991302,15.79260292,Adult
90,2012,425.5108271,19.67823609,Adult
91,2011,486.5710098,93.67727407,Adult
92,2012,615.0316322,62.87994791,Adult
93,2011,717.1008917,370.778037,Adult
94,2010,685.6719539,105.3962131,Adult
95,2010,398.4436274,22.9643096,Adult
96,2009,476.5795702,9.025052465,Adult
97,2012,505.6170355,25.51854447,Adult
98,2010,565.5389325,48.03223434,Adult
99,2012,329.0539959,6.521295324,Adult
100,2012,484.7468903,21.49551563,Adult
101,2012,311.2093235,5.725400745,Adult
102,2012,331.9011952,6.946052244,Adult
103,2011,346.6640249,34.80793918,Adult
104,2012,780.4873773,111.1374256,Adult
105,2009,538.3908345,15.42761363,Adult
106,2010,436.6661562,20.54633988,Adult
107,2011,493.8939759,121.5476035,Adult
108,2011,443.6338323,70.45821387,Adult
109,2011,212.6089542,5.451628874,Juv
110,2010,490.1257733,24.20991096,Adult
111,2012,482.4644066,21.43528609,Adult
112,2012,591.3253683,56.98991548,Adult
113,2010,406.4935389,24.41006264,Adult
114,2011,244.2158576,14.0332183,Juv
115,2009,522.0722735,13.45632992,Adult
116,2010,740.779639,224.0786203,Adult
117,2012,715.5005243,66.03645287,Adult
118,2011,455.2596585,77.78701313,Adult
119,2012,671.4580567,53.01133458,Adult
120,2009,405.7965714,7.094235003,Adult
121,2012,629.1663761,41.7291697,Adult
122,2009,433.1263563,7.467036468,Adult
123,2011,636.2975769,203.2275301,Adult
124,2009,253.3676131,1.197850189,Juv
125,2010,410.2449373,29.36148069,Adult
126,2012,319.7478943,9.125158157,Adult
127,2011,757.1630397,605.2806898,Adult
128,2009,482.9268754,9.226713075,Adult
129,2011,214.8268382,7.244595095,Juv
130,2010,766.3390237,129.7914409,Adult
131,2010,486.0240148,39.95607239,Adult
132,2011,576.5714792,256.1721117,Adult
133,2011,591.4643867,308.6127357,Adult
