Stream,Date,Habitat,Species,TL.mm
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,80
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,83
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,91
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,96
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,48
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,59
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,78
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,64
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,87
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,56
L Ball Crk,22-Jul-09,Run,Longnose Dace,62
L Ball Crk,22-Jul-09,Run,Longnose Dace,62
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,97
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,71
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,65
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,78
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,50
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,61
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,69
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,48
L Ball Crk,22-Jul-09,Riffle,Longnose Dace,92
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,81
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,60
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,48
L Ball Crk,22-Jul-09,Riffle,Longnose Dace,60
L Ball Crk,22-Jul-09,Riffle,Longnose Dace,74
L Ball Crk,22-Jul-09,Pool,Mottled Sculpin,73
L Ball Crk,22-Jul-09,Pool,Brook Trout,138
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,96
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,90
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,80
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,59
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,47
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,45
L Ball Crk,22-Jul-09,Riffle,Mottled Sculpin,46
L Ball Crk,22-Jul-09,Riffle,Longnose Dace,59
L Ball Crk,22-Jul-09,Riffle,Longnose Dace,54
L Ball Crk,22-Jul-09,Riffle,Longnose Dace,58
L Ball Crk,22-Jul-09,Riffle,Longnose Dace,57
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,79
L Ball Crk,22-Jul-09,Run,Longnose Dace,82
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,70
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,72
L Ball Crk,22-Jul-09,Run,Mottled Sculpin,67
L Ball Crk,22-Jul-09,Run,Longnose Dace,62
L Ball Crk,22-Jul-09,Pool,Brook Trout,164
L Ball Crk,22-Jul-09,Pool,Mottled Sculpin,69
